ligand	cluster	run	mode	affinity	rmsd_lb	rmsd_ub	model
SQ	cl2	1	1	-5.5298	0.0	0.0	CsqR-s-IT, compact
SQ	cl2	1	2	-5.2908	2.0923	2.6623	CsqR-s-IT, compact
SQ	cl2	1	3	-5.0019	1.6471	2.5492	CsqR-s-IT, compact
SQ	cl2	2	1	-5.0903	0.0	0.0	CsqR-s-IT, compact
SQ	cl2	2	2	-4.7237	11.4406	12.676	CsqR-s-IT, compact
SQ	cl2	2	3	-4.7075	11.2632	13.5215	CsqR-s-IT, compact
SQ	cl2	3	1	-5.525	0.0	0.0	CsqR-s-IT, compact
SQ	cl2	3	2	-5.2665	2.0925	2.7323	CsqR-s-IT, compact
SQ	cl2	3	3	-4.95	11.4952	13.7095	CsqR-s-IT, compact
SQ	cl2	4	1	-4.6812	0.0	0.0	CsqR-s-IT, compact
SQ	cl2	4	2	-4.6559	15.1194	16.4119	CsqR-s-IT, compact
SQ	cl2	4	3	-4.6361	13.624	15.3055	CsqR-s-IT, compact
SQ	cl2	5	1	-5.0406	0.0	0.0	CsqR-s-IT, compact
SQ	cl2	5	2	-4.9498	2.1036	2.7661	CsqR-s-IT, compact
SQ	cl2	5	3	-4.8876	1.8407	2.6891	CsqR-s-IT, compact
SQGro	cl2	1	1	-4.8573	0.0	0.0	CsqR-s-IT, compact
SQGro	cl2	1	2	-4.8007	9.7702	12.0435	CsqR-s-IT, compact
SQGro	cl2	1	3	-4.792	2.4972	6.2624	CsqR-s-IT, compact
SQGro	cl2	2	1	-4.6869	0.0	0.0	CsqR-s-IT, compact
SQGro	cl2	2	2	-4.3093	9.4074	12.5257	CsqR-s-IT, compact
SQGro	cl2	2	3	-4.3084	20.8173	23.2833	CsqR-s-IT, compact
SQGro	cl2	3	1	-5.0388	0.0	0.0	CsqR-s-IT, compact
SQGro	cl2	3	2	-4.7641	3.0379	6.5404	CsqR-s-IT, compact
SQGro	cl2	3	3	-4.6468	12.0639	14.9633	CsqR-s-IT, compact
SQGro	cl2	4	1	-4.8178	0.0	0.0	CsqR-s-IT, compact
SQGro	cl2	4	2	-4.5961	1.6895	2.4679	CsqR-s-IT, compact
SQGro	cl2	4	3	-4.5559	9.9702	12.6893	CsqR-s-IT, compact
SQGro	cl2	5	1	-4.8053	0.0	0.0	CsqR-s-IT, compact
SQGro	cl2	5	2	-4.773	2.4497	5.1299	CsqR-s-IT, compact
SQGro	cl2	5	3	-4.5995	9.2327	11.6858	CsqR-s-IT, compact
SR	cl2	1	1	-5.2593	0.0	0.0	CsqR-s-IT, compact
SR	cl2	1	2	-5.1473	2.1298	4.9037	CsqR-s-IT, compact
SR	cl2	1	3	-5.0824	2.1684	5.0715	CsqR-s-IT, compact
SR	cl2	2	1	-5.1776	0.0	0.0	CsqR-s-IT, compact
SR	cl2	2	2	-4.9423	2.1673	5.0581	CsqR-s-IT, compact
SR	cl2	2	3	-4.8938	12.4767	13.7746	CsqR-s-IT, compact
SR	cl2	3	1	-5.2336	0.0	0.0	CsqR-s-IT, compact
SR	cl2	3	2	-5.1765	2.14	4.8521	CsqR-s-IT, compact
SR	cl2	3	3	-5.0843	2.1877	5.0817	CsqR-s-IT, compact
SR	cl2	4	1	-5.2339	0.0	0.0	CsqR-s-IT, compact
SR	cl2	4	2	-5.0549	2.2098	5.0881	CsqR-s-IT, compact
SR	cl2	4	3	-4.9754	11.9581	13.2313	CsqR-s-IT, compact
SR	cl2	5	1	-5.2503	0.0	0.0	CsqR-s-IT, compact
SR	cl2	5	2	-5.0328	2.1721	5.0729	CsqR-s-IT, compact
SR	cl2	5	3	-4.8665	2.5282	4.905	CsqR-s-IT, compact
Glu	cl1	1	1	-4.2546	0.0	0.0	CsqR-s-IT, open
Glu	cl1	1	2	-4.0831	25.0264	25.7564	CsqR-s-IT, open
Glu	cl1	1	3	-4.0032	25.1001	25.867	CsqR-s-IT, open
Glu	cl1	2	1	-4.4933	0.0	0.0	CsqR-s-IT, open
Glu	cl1	2	2	-4.4676	25.1715	26.0419	CsqR-s-IT, open
Glu	cl1	2	3	-4.2698	25.3407	26.0968	CsqR-s-IT, open
Glu	cl1	3	1	-4.3505	0.0	0.0	CsqR-s-IT, open
Glu	cl1	3	2	-4.1813	25.2775	25.9455	CsqR-s-IT, open
Glu	cl1	3	3	-4.0865	24.9918	25.7211	CsqR-s-IT, open
Glu	cl1	4	1	-4.2307	0.0	0.0	CsqR-s-IT, open
Glu	cl1	4	2	-4.1464	25.1783	25.7803	CsqR-s-IT, open
Glu	cl1	4	3	-3.9829	25.71	26.3613	CsqR-s-IT, open
Glu	cl1	5	1	-4.4037	0.0	0.0	CsqR-s-IT, open
Glu	cl1	5	2	-4.371	25.1451	25.8682	CsqR-s-IT, open
Glu	cl1	5	3	-4.1474	2.5589	4.9163	CsqR-s-IT, open
Lac	cl1	10	1	-5.4667	0.0	0.0	CsqR-s-IT, open
Lac	cl1	10	2	-5.2483	1.8163	6.7943	CsqR-s-IT, open
Lac	cl1	10	3	-5.1517	2.0956	6.3293	CsqR-s-IT, open
Lac	cl1	1	1	-5.2938	0.0	0.0	CsqR-s-IT, open
Lac	cl1	1	2	-5.2096	2.3296	4.0113	CsqR-s-IT, open
Lac	cl1	1	3	-5.169	1.922	6.0813	CsqR-s-IT, open
Lac	cl1	2	1	-5.7084	0.0	0.0	CsqR-s-IT, open
Lac	cl1	2	2	-5.5707	1.2043	6.6665	CsqR-s-IT, open
Lac	cl1	2	3	-5.4041	2.0989	6.3251	CsqR-s-IT, open
Lac	cl1	3	1	-5.8451	0.0	0.0	CsqR-s-IT, open
Lac	cl1	3	2	-5.6572	1.7474	6.8444	CsqR-s-IT, open
Lac	cl1	3	3	-5.5364	2.2003	3.2888	CsqR-s-IT, open
Lac	cl1	4	1	-6.0194	0.0	0.0	CsqR-s-IT, open
Lac	cl1	4	2	-5.615	1.6856	2.1487	CsqR-s-IT, open
Lac	cl1	4	3	-5.5979	2.1053	6.1331	CsqR-s-IT, open
Lac	cl1	5	1	-6.3321	0.0	0.0	CsqR-s-IT, open
Lac	cl1	5	2	-6.2563	1.4224	6.8388	CsqR-s-IT, open
Lac	cl1	5	3	-5.7825	2.0076	3.221	CsqR-s-IT, open
Lac	cl1	6	1	-6.1309	0.0	0.0	CsqR-s-IT, open
Lac	cl1	6	2	-6.0618	1.4179	6.8515	CsqR-s-IT, open
Lac	cl1	6	3	-5.8003	1.4895	6.6019	CsqR-s-IT, open
Lac	cl1	7	1	-6.4151	0.0	0.0	CsqR-s-IT, open
Lac	cl1	7	2	-6.3439	1.3915	6.8609	CsqR-s-IT, open
Lac	cl1	7	3	-5.9272	1.9376	6.1182	CsqR-s-IT, open
Lac	cl1	8	1	-5.9207	0.0	0.0	CsqR-s-IT, open
Lac	cl1	8	2	-5.8349	1.1283	6.7444	CsqR-s-IT, open
Lac	cl1	8	3	-5.6458	1.9357	3.1939	CsqR-s-IT, open
Lac	cl1	9	1	-5.8349	0.0	0.0	CsqR-s-IT, open
Lac	cl1	9	2	-5.5606	1.9197	5.8844	CsqR-s-IT, open
Lac	cl1	9	3	-5.5567	1.7651	6.8401	CsqR-s-IT, open
SQ	cl1	1	1	-5.2807	0.0	0.0	CsqR-s-IT, open
SQ	cl1	1	2	-5.2457	1.6464	2.3044	CsqR-s-IT, open
SQ	cl1	1	3	-4.9771	2.1194	5.2838	CsqR-s-IT, open
SQ	cl1	2	1	-5.2358	0.0	0.0	CsqR-s-IT, open
SQ	cl1	2	2	-5.2223	0.0874	1.0949	CsqR-s-IT, open
SQ	cl1	2	3	-5.1711	1.7084	2.2451	CsqR-s-IT, open
SQ	cl1	3	1	-5.2649	0.0	0.0	CsqR-s-IT, open
SQ	cl1	3	2	-5.1785	1.2742	1.9397	CsqR-s-IT, open
SQ	cl1	3	3	-5.1189	1.6506	2.3707	CsqR-s-IT, open
SQ	cl1	4	1	-5.4707	0.0	0.0	CsqR-s-IT, open
SQ	cl1	4	2	-5.2743	1.0673	1.3907	CsqR-s-IT, open
SQ	cl1	4	3	-5.1258	1.5792	2.3824	CsqR-s-IT, open
SQ	cl1	5	1	-5.211	0.0	0.0	CsqR-s-IT, open
SQ	cl1	5	2	-5.1295	1.6543	2.0776	CsqR-s-IT, open
SQ	cl1	5	3	-5.1116	1.2776	1.9793	CsqR-s-IT, open
SQGro	cl1	10	1	-4.9051	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	10	2	-4.8796	2.5217	5.4188	CsqR-s-IT, open
SQGro	cl1	10	3	-4.8541	2.8734	5.3134	CsqR-s-IT, open
SQGro	cl1	1	1	-4.8777	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	1	2	-4.8695	2.5946	5.4776	CsqR-s-IT, open
SQGro	cl1	1	3	-4.7344	2.8727	5.2486	CsqR-s-IT, open
SQGro	cl1	2	1	-4.7498	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	2	2	-4.6871	2.7587	3.9769	CsqR-s-IT, open
SQGro	cl1	2	3	-4.6123	2.3355	5.6383	CsqR-s-IT, open
SQGro	cl1	3	1	-4.7309	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	3	2	-4.6303	2.7431	6.0279	CsqR-s-IT, open
SQGro	cl1	3	3	-4.4977	2.3215	3.4219	CsqR-s-IT, open
SQGro	cl1	4	1	-4.8021	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	4	2	-4.7933	2.1613	4.2921	CsqR-s-IT, open
SQGro	cl1	4	3	-4.7906	2.1819	5.1024	CsqR-s-IT, open
SQGro	cl1	5	1	-4.8755	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	5	2	-4.8711	2.5625	5.4795	CsqR-s-IT, open
SQGro	cl1	5	3	-4.7848	2.7022	3.9555	CsqR-s-IT, open
SQGro	cl1	6	1	-4.7437	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	6	2	-4.7368	1.5074	1.9802	CsqR-s-IT, open
SQGro	cl1	6	3	-4.7279	2.1561	5.0388	CsqR-s-IT, open
SQGro	cl1	7	1	-4.8679	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	7	2	-4.7774	1.7737	2.2703	CsqR-s-IT, open
SQGro	cl1	7	3	-4.6623	2.3966	5.7103	CsqR-s-IT, open
SQGro	cl1	8	1	-4.8486	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	8	2	-4.6453	2.6853	6.2281	CsqR-s-IT, open
SQGro	cl1	8	3	-4.5618	2.8637	4.8993	CsqR-s-IT, open
SQGro	cl1	9	1	-4.9036	0.0	0.0	CsqR-s-IT, open
SQGro	cl1	9	2	-4.7528	2.6479	3.9167	CsqR-s-IT, open
SQGro	cl1	9	3	-4.7262	2.3571	5.7998	CsqR-s-IT, open
SR	cl1	1	1	-5.4844	0.0	0.0	CsqR-s-IT, open
SR	cl1	1	2	-5.3854	1.6496	2.5497	CsqR-s-IT, open
SR	cl1	1	3	-5.2648	1.5473	2.2577	CsqR-s-IT, open
SR	cl1	2	1	-5.5927	0.0	0.0	CsqR-s-IT, open
SR	cl1	2	2	-5.3069	1.63	2.5045	CsqR-s-IT, open
SR	cl1	2	3	-4.9474	1.6252	2.4739	CsqR-s-IT, open
SR	cl1	3	1	-5.4819	0.0	0.0	CsqR-s-IT, open
SR	cl1	3	2	-5.4709	1.7148	2.5744	CsqR-s-IT, open
SR	cl1	3	3	-5.4246	1.5631	2.3864	CsqR-s-IT, open
SR	cl1	4	1	-5.4521	0.0	0.0	CsqR-s-IT, open
SR	cl1	4	2	-5.3587	1.6953	2.5528	CsqR-s-IT, open
SR	cl1	4	3	-5.1748	2.0863	2.9054	CsqR-s-IT, open
SR	cl1	5	1	-5.4529	0.0	0.0	CsqR-s-IT, open
SR	cl1	5	2	-5.2589	1.7086	2.5827	CsqR-s-IT, open
SR	cl1	5	3	-4.8489	1.1617	1.809	CsqR-s-IT, open
